,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.0,Tue Aug 28 18:56:05 +0000 2018,1.0,0.0,0.0,@BBC,"🐢 Scientists have found new evidence confirming that turtles once lived without shells.
👉 https://t.co/xLIFJNJdh1 https://t.co/VUcP8zguW7",1
1,0.5423,Tue Aug 28 18:03:04 +0000 2018,0.78,0.0,0.22,@BBC,A conversation with a homeless man inspired Stephen to attempt the unusual challenge of crossing the Alps on a spac… https://t.co/w6h0Yhe5bf,2
2,0.0,Tue Aug 28 16:01:02 +0000 2018,1.0,0.0,0.0,@BBC,😂 If Britney's songs were Scottish. https://t.co/Em0LRQmbFt,3
3,0.5994,Tue Aug 28 14:51:38 +0000 2018,0.795,0.0,0.205,@BBC,"RT @BBCOne: Be careful who you trust.

#Bodyguard. Continues Sundays at 9pm on @BBCOne. Or available to watch on @BBCiPlayer: https://t.co/…",4
4,0.3612,Tue Aug 28 14:51:32 +0000 2018,0.848,0.0,0.152,@BBC,"RT @BBCiPlayer: Watch the highlights from Reading and Leeds Festivals on BBC iPlayer 🙌 
https://t.co/AfQl9nXavO https://t.co/KGbRUouFCZ",5
5,0.0,Tue Aug 28 13:02:04 +0000 2018,1.0,0.0,0.0,@BBC,"Once upon a time, two early humans of different ancestry met at a cave in Russia.

50,000 years later, scientists h… https://t.co/oOCBlGLFqQ",6
6,0.0,Tue Aug 28 12:48:59 +0000 2018,1.0,0.0,0.0,@BBC,@BBCTravelShow is on @BBCiPlayer now 👉 https://t.co/Sqn5y0xC80,7
7,0.4767,Tue Aug 28 12:00:18 +0000 2018,0.728,0.0,0.272,@BBC,🍅 Neighbourhood gardens are providing important access to fresh food in urban areas. https://t.co/wLol6vY5rW,8
8,0.8316,Tue Aug 28 11:33:00 +0000 2018,0.63,0.0,0.37,@BBC,"This sweet, sticky rice is hit 100 times with a mallet to create a delicious Japanese dessert. 🍚🔨 #TheTravelShow https://t.co/jLazGPrVH1",9
9,-0.296,Tue Aug 28 11:01:01 +0000 2018,0.896,0.104,0.0,@BBC,🍯 Honey and over-the-counter meds should be the first line of treatment for most people with coughs to avoid antibi… https://t.co/di9e7UgCm9,10
10,0.4215,Tue Aug 28 08:00:16 +0000 2018,0.823,0.0,0.177,@BBC,"❤️🐾 So many puppies and kittens will be safer because of this.
#LucysLaw https://t.co/LyF6u8hy2n",11
11,0.0,Tue Aug 28 07:26:06 +0000 2018,1.0,0.0,0.0,@BBC,"What's the real price of getting rid of plastic packaging?
👉 https://t.co/RyTb9nF0CF https://t.co/MwiKgBExnZ",12
12,0.128,Tue Aug 28 07:00:13 +0000 2018,0.821,0.077,0.103,@BBC,😲 Researchers have created a virtual reality system that tricks your brain into thinking you have unlimited space t… https://t.co/zo6iUmhwoN,13
13,0.624,Mon Aug 27 20:01:03 +0000 2018,0.806,0.0,0.194,@BBC,"Nikki Bedi interviews one of Britain's most successful - and outspoken - actors, @rizmc.

Riz Ahmed: Road to Englis… https://t.co/PACKut4MfU",14
14,0.0772,Mon Aug 27 19:36:00 +0000 2018,0.936,0.0,0.064,@BBC,"🙈 Walking in on your mum. The last thing you want to see. Ever. 

#Wanderlust starring Toni Collette | September 4… https://t.co/C8JHV3ym5j",15
15,0.5859,Mon Aug 27 19:03:04 +0000 2018,0.752,0.062,0.186,@BBC,"In this revealingly intimate documentary, Adrian Chiles takes a long hard look at his own love of boozing. 🍺

Drink… https://t.co/mDtI8RH9Qk",16
16,-0.4939,Mon Aug 27 18:12:05 +0000 2018,0.862,0.138,0.0,@BBC,More than half of Borneo's orangutans have perished since 1999; their habitats destroyed to make way for palm oil p… https://t.co/SIm7DMFEgU,17
17,0.0,Mon Aug 27 17:05:04 +0000 2018,1.0,0.0,0.0,@BBC,🎻 The incredible orchestra with a difference. https://t.co/v9oGw3x47H,18
18,0.0772,Mon Aug 27 16:03:04 +0000 2018,0.944,0.0,0.056,@BBC,"An increasing number of South Korean women are choosing not to marry, not to have children, and not even to have re… https://t.co/Ae3Q2qtHTc",19
19,0.0,Mon Aug 27 14:08:03 +0000 2018,1.0,0.0,0.0,@BBC,"😂🐋🚌 'Before there were London buses, what did we use to measure blue whales?' https://t.co/Tmv8QZe8e7",20
20,0.296,Mon Aug 27 12:11:04 +0000 2018,0.891,0.0,0.109,@BBC,"⚖️🐧 More than 19,000 animals at @ZSLLondonZoo have had their vital statistics taken for the annual weigh-in.
👉… https://t.co/H7JPVMODto",21
21,0.5719,Mon Aug 27 10:05:03 +0000 2018,0.793,0.0,0.207,@BBC,🌻🌻 The Pop-Up Farm has been created by a Hertfordshire farmer to help people learn about farming in a different way… https://t.co/E4PnTp3eLS,22
22,0.0,Mon Aug 27 09:01:02 +0000 2018,1.0,0.0,0.0,@BBC,"Three uninhabited Orkney islands have been put up for sale together for offers over £200,000.
👉… https://t.co/5318XAYLFf",23
23,-0.3818,Mon Aug 27 08:10:04 +0000 2018,0.843,0.157,0.0,@BBC,"Why this bloodless testing device could be a game-changer in the fight against malaria.
#BBCInnovators https://t.co/2kRsfLzxOJ",24
24,-0.4003,Sun Aug 26 19:39:07 +0000 2018,0.828,0.172,0.0,@BBC,"RT @BBCOne: 🚨 Consider this your 30-minute warning! 🚨
#Bodyguard. Starts tonight at 9pm, @BBCOne. https://t.co/m8JzlprYRG",25
25,-0.7269,Sun Aug 26 19:13:06 +0000 2018,0.469,0.408,0.122,@BBC,"A troubled war veteran is assigned to protect a controversial politician...

#Bodyguard | 9pm | @BBCOne |… https://t.co/SopVXMpTWg",26
26,0.0,Sun Aug 26 18:05:00 +0000 2018,1.0,0.0,0.0,@BBC,"🕵️😂 Did you know Sherlock is Indian? 
#GoodnessGraciousMe https://t.co/quFCCTvECl",27
27,0.5719,Sun Aug 26 16:46:09 +0000 2018,0.619,0.0,0.381,@BBC,"The perfect picnic doesn't exi- 
#NationalDogDay https://t.co/hCE7MqzF2P",28
28,0.0,Sun Aug 26 16:32:00 +0000 2018,1.0,0.0,0.0,@BBC,"This sketch was discovered in Germany, but could it be by British artist Henry Moore? Fiona Bruce and @PhilipMould… https://t.co/gGf2OFwsVI",29
29,0.296,Sun Aug 26 15:05:02 +0000 2018,0.81,0.067,0.124,@BBC,"😴 It’s hard to overstate the benefits of a night’s rest for human memory, and neuroscientists are just beginning to… https://t.co/GK81wfxhJ3",30
30,0.0,Sun Aug 26 14:07:04 +0000 2018,1.0,0.0,0.0,@BBC,The boat that ROCKED 🤘https://t.co/4avyIFuoot,31
31,-0.6808,Sun Aug 26 12:06:05 +0000 2018,0.705,0.295,0.0,@BBC,"📖 The murderer turned author who published clues to his crimes.
👉https://t.co/ITArfoXazg https://t.co/BSXLone9P7",32
32,0.4404,Sun Aug 26 11:01:06 +0000 2018,0.868,0.0,0.132,@BBC,🎓 Aidan has cerebral palsy so he used eye gaze technology to complete his degree in creative writing...and got a fi… https://t.co/KMxNJIYrPv,33
33,0.0,Sun Aug 26 10:09:08 +0000 2018,1.0,0.0,0.0,@BBC,💉 Scientists believe they have found a reliable way to transform donor blood into the universal type needed for saf… https://t.co/rU3YmogzMa,34
34,0.2023,Sun Aug 26 09:26:05 +0000 2018,0.909,0.0,0.091,@BBC,😍 Photographs of golden retriever puppies playing with lion and tiger cubs at a wildlife park in Beijing are meltin… https://t.co/1Qfwlhs37j,35
35,0.4404,Sun Aug 26 09:08:05 +0000 2018,0.861,0.0,0.139,@BBC,🥓🍳 @Libertines frontman @PeteDoherty will have his name inscribed on a wall of fame in a Margate cafe after scoffin… https://t.co/I9URg2sXjn,36
36,-0.5994,Sun Aug 26 08:00:14 +0000 2018,0.843,0.157,0.0,@BBC,"This father and son thought they were going to die at sea. 
Then 13 year old Joe did something incredible. 
(via… https://t.co/ygLkik2sjB",37
37,0.0,Sun Aug 26 07:42:20 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCWorld: US Senator John McCain dies aged 81 https://t.co/Sge1AtsTtk,38
38,0.0,Sun Aug 26 07:12:02 +0000 2018,1.0,0.0,0.0,@BBC,🦎🎨 How do chameleons change colour?  https://t.co/4fbUTZLbO7,39
39,0.7003,Sat Aug 25 21:01:07 +0000 2018,0.756,0.0,0.244,@BBC,"Three friends decide to turn their fantasy vacation into reality after one of their group gets engaged. 🎬🍿

Zindagi… https://t.co/73RISRIQPx",40
40,0.4199,Sat Aug 25 18:07:04 +0000 2018,0.715,0.0,0.285,@BBC,❤️🦔 All animals need someone like Joan! https://t.co/45ldsfXqNC,41
41,0.4019,Sat Aug 25 17:18:16 +0000 2018,0.863,0.0,0.137,@BBC,RT @bbcstories: From slave plantations to #nottinghillcarnival2018 - How steel pans brought harmony to Europe’s biggest Caribbean event. ht…,42
42,0.6369,Sat Aug 25 17:18:08 +0000 2018,0.682,0.0,0.318,@BBC,RT @BBCOne: Love. Sex. It's complicated. This is #Wanderlust. https://t.co/rnZLvWi0JT,43
43,0.0,Sat Aug 25 17:00:19 +0000 2018,1.0,0.0,0.0,@BBC,"Is identity different online? 

@BBCThree spoke to four of the most followed young Asian influencers in the country… https://t.co/D15TpRXt2X",44
44,0.4019,Sat Aug 25 16:00:15 +0000 2018,0.816,0.0,0.184,@BBC,💃🕺 Meet the dancer bringing 'rent parties' from Harlem to the UK. https://t.co/hXpLZXNXnc,45
45,0.8271,Sat Aug 25 15:02:06 +0000 2018,0.607,0.0,0.393,@BBC,"🐦📸 Vibrant pink flamingos triumphed over diving gannets and hungry robins, taking top spot in 2018's Bird Photograp… https://t.co/fbkCntCFjY",46
46,0.4215,Sat Aug 25 14:42:30 +0000 2018,0.833,0.0,0.167,@BBC,"""I want you guys to sing it so loud Chester can hear you, are you ready to do that?""

💔 @MikeShinoda's… https://t.co/rHda95PHNg",47
47,0.0,Sat Aug 25 14:00:15 +0000 2018,1.0,0.0,0.0,@BBC,🍻 + 🧘‍♀️🧘‍♂️ = 😊 https://t.co/n3nkO3TkhD,48
48,0.3612,Sat Aug 25 13:00:20 +0000 2018,0.839,0.0,0.161,@BBC,"😋🍫@BegumNadiya's tear'n'share mocha swirls are guaranteed to put a smile on your face. 
#NadiyasFamilyFavourites https://t.co/xmbPUB13wF",49
49,-0.1027,Sat Aug 25 12:00:17 +0000 2018,0.638,0.202,0.16,@BBC,"🎨 The women impressionists forgotten by history.
👉 https://t.co/tCmgdobORS https://t.co/5tJAw51rHf",50
50,0.0,Sat Aug 25 11:07:04 +0000 2018,1.0,0.0,0.0,@BBC,"❄️🌝 Scientists say they have definitive evidence for water-ice on the surface of the Moon.
👉 https://t.co/3vkqKzkmRT https://t.co/sdTP7tdpK5",51
51,0.0,Sat Aug 25 09:45:20 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCR1: What's you're all-time favourite Reading &amp; Leeds performance? @paramore? @BiffyClyro? @Nirvana? @ArcticMonkeys? @disclosure? @fo…,52
52,0.0,Sat Aug 25 09:00:19 +0000 2018,1.0,0.0,0.0,@BBC,"Of all your education, a very few specific skills will determine the rationality of your decision making. 

Take… https://t.co/kosxQqPPRi",53
53,0.0,Sat Aug 25 08:00:06 +0000 2018,1.0,0.0,0.0,@BBC,"Five-year-old Otto competed in a para-triathlon seven months after major surgery on his spine. 

❤️ He wanted to ra… https://t.co/Brxs6na4eN",54
54,0.0,Fri Aug 24 20:03:07 +0000 2018,1.0,0.0,0.0,@BBC,"The story of how British Asians came of age as they found their voice and identity. 🎶

Pump Up the Bhangra: The Sou… https://t.co/UooVjCCTRM",55
55,0.0,Fri Aug 24 18:02:07 +0000 2018,1.0,0.0,0.0,@BBC,"😂🗞 It's India's favourite newspaper... The Delhi Mail!  
#GoodnessGraciousMe https://t.co/z8FpkFoFE9",56
56,0.3182,Fri Aug 24 15:59:00 +0000 2018,0.874,0.0,0.126,@BBC,"Me leaving work in a calm and orderly fashion ahead of the  🎉THREE 🎉DAY 🎉WEEKEND 🎉

#FridayFeeling #BankHoliday https://t.co/x9zFn90J3W",57
57,0.784,Fri Aug 24 14:58:04 +0000 2018,0.744,0.0,0.256,@BBC,RT @BBCTwo: Happy Birthday @StephenFry! Here’s one of our favourite clips ever featuring your good self and a rather randy parrot… 😂😳 https…,58
58,0.0,Fri Aug 24 14:22:04 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One soon. @bbcstrictly. https://t.co/yqOYHGXMqP",59
59,0.0,Fri Aug 24 13:07:53 +0000 2018,1.0,0.0,0.0,@BBC,"🌡 The next few years could be 'anomalously warm', according to a new study.
👉 https://t.co/jKfnBaFiCA https://t.co/GHZglCJXGS",60
60,0.0516,Fri Aug 24 12:01:06 +0000 2018,0.926,0.0,0.074,@BBC,"😂 When you catch your wife reading the Victorian version of 50 Shades Of Grey. 
#Quacks https://t.co/WsShUpzOJm",61
61,0.0,Fri Aug 24 11:00:12 +0000 2018,1.0,0.0,0.0,@BBC,🧀 A substance found by archaeologists working in an Ancient Egyptian tomb has proved to be one of the oldest cheese… https://t.co/1e3wwLTYzw,62
62,0.0,Fri Aug 24 08:43:01 +0000 2018,1.0,0.0,0.0,@BBC,@BBCTravelShow is on @BBCiPlayer now! https://t.co/vORksfNnB7 🍉🐻,63
63,-0.4939,Fri Aug 24 08:00:15 +0000 2018,0.862,0.138,0.0,@BBC,More than half of Borneo's orangutans have perished since 1999; their habitats destroyed to make way for palm oil p… https://t.co/K4hcJybtsU,64
64,0.0,Fri Aug 24 07:27:06 +0000 2018,1.0,0.0,0.0,@BBC,"15-20% of US contact lens users dispose of them in bathroom drains, increasing plastic pollution in the environment… https://t.co/xTvugVsIBd",65
65,0.0,Fri Aug 24 07:00:10 +0000 2018,1.0,0.0,0.0,@BBC,😮🙌🗼 Not what you'd normally find in a back garden... https://t.co/Qo13wjnFO9,66
66,0.0,Thu Aug 23 19:00:22 +0000 2018,1.0,0.0,0.0,@BBC,🍓🤖 Meet the strawberry picking robot. https://t.co/oVL1eYXeBt,67
67,0.5859,Thu Aug 23 18:02:06 +0000 2018,0.833,0.0,0.167,@BBC,"Twenty familiar faces from the worlds of show business, music and sport compete to win the 2018 title... Celebrity… https://t.co/b8ah90rqci",68
68,0.0,Thu Aug 23 17:31:00 +0000 2018,1.0,0.0,0.0,@BBC,Would you travel to Japan to meet Melonbear? https://t.co/aiiuz98vMp,69
69,0.7345,Thu Aug 23 16:01:05 +0000 2018,0.721,0.0,0.279,@BBC,"RT @BBCOne: Be a nice person ✅
Never give up ✅
Answer back ✅

And other valuable life advice from @LennyHenry! https://t.co/pYyyfqeKOq",70
70,0.0,Thu Aug 23 16:00:00 +0000 2018,1.0,0.0,0.0,@BBC,"Do you give a fork? 🍴
#PlasticsAction https://t.co/Zs6OXgNdM6",71
71,-0.5106,Thu Aug 23 15:55:24 +0000 2018,0.858,0.142,0.0,@BBC,"RT @BBCNews: GCSE results day is stressful for a lot of people 😖

Here are some tips on how to cope https://t.co/zjny0yFCjX https://t.co/io…",72
72,0.0,Thu Aug 23 15:49:59 +0000 2018,1.0,0.0,0.0,@BBC,"RT @bbcpress: 🎬 @BBCThree's #Fleabag series two cast announced as filming commences, with Andrew Scott joining the show: https://t.co/nH6LF…",73
73,0.0,Thu Aug 23 14:27:01 +0000 2018,1.0,0.0,0.0,@BBC,"South Korean boy band @BTS_twt will appear in the 2019 edition of the Guinness Book of World Records - twice! 
👉… https://t.co/DkTcQLeqJD",74
74,0.0,Thu Aug 23 13:08:17 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBC_Teach: Did you know that GCSEs are 30 years old this year?

Take a trip down memory lane with this 1988 clip from John Craven's New…",75
75,-0.4215,Thu Aug 23 13:00:22 +0000 2018,0.823,0.177,0.0,@BBC,"From 'preating' to 'orbiting' - which toxic dating trend are you guilty of?
👉 https://t.co/O4dQkQAqlM https://t.co/p39IuVrUVI",76
76,0.4445,Thu Aug 23 12:03:06 +0000 2018,0.673,0.0,0.327,@BBC,🐶🍦 Almost too adorable to eat... https://t.co/Cf3gUwmFqH,77
77,-0.3612,Thu Aug 23 11:00:19 +0000 2018,0.889,0.111,0.0,@BBC,"😲 A woman has had a contact lens removed from her eyelid 28 years after it was thought to have fallen out.
👉… https://t.co/okaXLrAjDn",78
78,0.4019,Thu Aug 23 09:56:02 +0000 2018,0.717,0.096,0.188,@BBC,"RT @BBCOne: Walking in on your mum. The last thing you want to see. Ever.

#Wanderlust starring Toni Collette explores love and forbidden d…",79
79,0.0,Thu Aug 23 09:15:16 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBC6Music: #AllDayRave
Thursday with...
6am @graemepark
7am @DirkandJurgen w/ @shaunwkeaveny &amp; @nemonemetaxas 
10am @laurenlaverne w/ @…",80
80,0.4199,Thu Aug 23 09:09:35 +0000 2018,0.772,0.081,0.147,@BBC,"RT @BBC6Music: We’re ‘aving a rave! 🙌
All day today we’re celebrating 30 years of UK club culture. No playlist, plenty of your requests and…",81
81,0.6597,Thu Aug 23 08:55:54 +0000 2018,0.787,0.0,0.213,@BBC,"RT @BBC_Teach: It's #gcseresultsday2018

#BBCMindSet are live NOW with support and advice to help you choose your next step 

Just click he…",82
82,0.6369,Thu Aug 23 08:00:08 +0000 2018,0.724,0.0,0.276,@BBC,"This woman is the best thing since sliced bread.
(via @BBCThree) https://t.co/1TUeJRVuJs",83
83,0.3182,Thu Aug 23 07:25:03 +0000 2018,0.874,0.0,0.126,@BBC,Examination of a mummy has revealed the original ancient Egyptian embalming recipe - first used to preserve bodies.… https://t.co/m4dEcDrGEY,84
84,0.0,Thu Aug 23 07:00:06 +0000 2018,1.0,0.0,0.0,@BBC,"🦔 💕 Only one in 100,000 hedgehogs are born with the recessive gene for albinism. https://t.co/os5fY2IdID",85
85,0.2263,Wed Aug 22 18:01:04 +0000 2018,0.909,0.0,0.091,@BBC,Meet the brothers who customise millions of pounds worth of supercars… and live at home with Mum and Dad. https://t.co/GKWVG8MN9K,86
86,-0.6486,Wed Aug 22 17:03:05 +0000 2018,0.677,0.323,0.0,@BBC,"NEWS JUST IN: TV is dead. 

#TheLennyHenryBirthdayShow | 8pm | @BBCOne https://t.co/BcAdHUwEFT",87
87,0.0,Wed Aug 22 16:03:06 +0000 2018,1.0,0.0,0.0,@BBC,How Vince’s experience as a Paralympian led him to set up a company making bespoke wheelchairs. https://t.co/oiij2R8Auk,88
88,-0.5859,Wed Aug 22 16:01:01 +0000 2018,0.806,0.194,0.0,@BBC,RT @BBCRadio4: Venezuela is desperately trying to stop out-of-control prices. Here’s how they got to where they were before the new currenc…,89
89,-0.4939,Wed Aug 22 14:08:06 +0000 2018,0.868,0.132,0.0,@BBC,"Cases of measles in Europe have hit a record high with 41,000 people infected in the first six months of 2018, acco… https://t.co/pmnPXDndJI",90
90,0.5093,Wed Aug 22 13:32:04 +0000 2018,0.87,0.0,0.13,@BBC,"RT @BBCTwo: By order of the #PeakyBlinders, we hereby issue @BBCOne with full membership to the Shelby family business! Welcome to the gang…",91
91,0.34,Wed Aug 22 13:13:18 +0000 2018,0.662,0.125,0.213,@BBC,"RT @BBCOne: Power. Protection. Trust. Threat.

Get ready for #Bodyguard. Starts Sunday 26th and Monday 27th August, 9pm, on @BBCOne.

Starr…",92
92,0.0,Wed Aug 22 13:00:24 +0000 2018,1.0,0.0,0.0,@BBC,"More than half (56%) of UK workers believe they are monitored by their boss at work, research from the TUC claims.… https://t.co/BPKwk9iEwL",93
93,0.0,Wed Aug 22 12:15:45 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBC6Music: Which tunes would you add to this list? #AllDayRave  https://t.co/1izIOoaqod,94
94,-0.4019,Wed Aug 22 12:02:05 +0000 2018,0.828,0.172,0.0,@BBC,Inside Shanghai’s marriage market where parents set their children up on blind dates. https://t.co/CHpIBNc16h,95
95,0.0,Wed Aug 22 11:30:59 +0000 2018,1.0,0.0,0.0,@BBC,"RT @bbcpress: ""By order of the #PeakyBlinders."" @ThePeakyBlinder moves to @BBCOne: https://t.co/VUCZAOjIX1 #EdTVFest https://t.co/fEA0Rv7ihh",96
96,-0.0382,Wed Aug 22 11:01:06 +0000 2018,0.943,0.057,0.0,@BBC,More than a third of farmed fruit and vegetables never reaches supermarket shelves because it is misshapen or the w… https://t.co/10Bqhnzz8j,97
97,0.0,Wed Aug 22 10:53:23 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCTheOneShow: That time Sir @LennyHenry bumped into the Queen of Soul in an airport! 🌹 https://t.co/QDXsgrA2nX,98
98,0.0,Wed Aug 22 08:00:09 +0000 2018,1.0,0.0,0.0,@BBC,🦎🎨 How do chameleons change colour?  https://t.co/4fbUTZLbO7,99
99,0.1779,Wed Aug 22 07:28:08 +0000 2018,0.7,0.115,0.185,@BBC,"There is high public support for using the tax system to reduce waste from single-use plastics, the Treasury says.… https://t.co/QPl3U2qmOj",100
100,0.0,Mon Aug 27 23:36:57 +0000 2018,1.0,0.0,0.0,@CBS,"It's almost time for sweater weather, pumpkin spice lattes, and CBS Fall TV premieres. Check out the storylines for… https://t.co/BpgDyYl8fc",1
101,-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.879,0.121,0.0,@CBS,RT @cbsallaccess: #NFL preseason coverage is here! 🏈 The Detroit @Lions battle the Tampa Bay @Buccaneers tonight at 8PM ET. Stream the game…,2
102,0.0,Wed Aug 22 20:55:25 +0000 2018,1.0,0.0,0.0,@CBS,"@bigbangtheory 🎶...happy kitty, sleepy kitty, purr purr purr🎶 #TheBigBangTheory https://t.co/sEObppGJlZ",3
103,0.0,Wed Aug 22 20:10:12 +0000 2018,1.0,0.0,0.0,@CBS,"This is going to require multiple singings of ""Soft Kitty."" https://t.co/UdRGNeQ7Lb",4
104,0.5423,Mon Aug 20 21:59:56 +0000 2018,0.829,0.0,0.171,@CBS,Got to get more of the @PaulMcCartney #CarpoolKaraoke into your life? @latelateshow produced an hour-long bonus spe… https://t.co/DjPqajo6Xn,5
105,0.3182,Fri Aug 17 17:42:02 +0000 2018,0.887,0.0,0.113,@CBS,"How much does it cost to bury the truth? 
#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/ZL5TBH9ro5",6
106,0.0,Thu Aug 16 18:40:09 +0000 2018,1.0,0.0,0.0,@CBS,Things got carried away when @ArianaGrande joined @latelateshow for #CarpoolKaraoke. So did Ariana. #ArianaCarpool https://t.co/WSZcC0TaYz,7
107,-0.5267,Thu Aug 16 00:09:03 +0000 2018,0.72,0.188,0.092,@CBS,RT @cbsallaccess: Murder mystery set in a small town? We're in. Rediscover the genius of original #TwinPeaks co-creators @DAVID_LYNCH and @…,8
108,0.0,Sun Aug 12 23:30:02 +0000 2018,1.0,0.0,0.0,@CBS,New start times for @60Minutes 7:20ET/6:20CT @CBSBigBrother 8:20ET/7:20CT @NCISLA 9:20ET/8:20CT @Elementary_CBS 10:… https://t.co/Op9VcDsREa,9
109,0.4389,Sun Aug 12 15:04:59 +0000 2018,0.874,0.0,0.126,@CBS,Clear your schedules for the 100th #PGAChamp! Stream the Final Round LIVE on @cbsallaccess at 2 PM ET across all de… https://t.co/m6bH2pKTUN,10
110,-0.3182,Sat Aug 11 18:00:00 +0000 2018,0.897,0.103,0.0,@CBS,The fortune teller you’ll meet this Saturday lived a life of luxury... by scamming her victims out of hundreds of t… https://t.co/fJo6F2Eo5p,11
111,0.4926,Sat Aug 11 15:00:02 +0000 2018,0.856,0.0,0.144,@CBS,The 100th PGA Championship continues today! Stream it LIVE on @cbsallaccess at 2PM ET across all devices. Try 1 Wee… https://t.co/jbMg06eOND,12
112,0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,@CBS,"To celebrate the 100th PGA Championship, relive some of the tournament's greatest moments with Luke Wilson. 

Don't… https://t.co/wUuB93smr4",13
113,0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,@CBS,"RT @TrueCrimeCBS: When Glenn Walp and Steve Doran uncovered theft at the Los Alamos National Laboratory, they HAD to blow their whistles. W…",14
114,0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,@CBS,Want to create your own @CBSBigBrother or @TKOCBS meme using one the photos here? It’s your lucky day! Head over to… https://t.co/JHJWykNkQT,15
115,0.7901,Thu Aug 09 18:47:00 +0000 2018,0.72,0.0,0.28,@CBS,Time to celebrate! Your favorite Daytime shows will premiere with new seasons this fall. See all of the @CBSDaytime… https://t.co/GNkK4Zf2kD,16
116,0.6696,Wed Aug 08 16:05:11 +0000 2018,0.791,0.0,0.209,@CBS,"Love is in the air, and the water! International smash hit #LoveIsland is coming to CBS. https://t.co/nepabuNoSU https://t.co/Cxgvkv463u",17
117,0.0,Tue Aug 07 16:06:57 +0000 2018,1.0,0.0,0.0,@CBS,The Executive Producers of @CBSBigBrother are teaming up with @KingJames and @MavCarter for an unprecedented televi… https://t.co/V88bDeHmQs,18
118,0.3612,Mon Aug 06 00:20:55 +0000 2018,0.889,0.0,0.111,@CBS,"RT @cbsallaccess: Executive Producer of Tell Me A Story, @kevwilliamson, says ""What I like about the show, there’s nothing else on TV like…",19
119,0.5411,Mon Aug 06 00:07:38 +0000 2018,0.683,0.098,0.219,@CBS,RT @TheNeighborhood: Feel the love in this new teaser for #TheNeighborhood from the #CBS #TCA18! 🤗 https://t.co/rPmCozH5XP,20
120,0.3818,Mon Aug 06 00:02:58 +0000 2018,0.894,0.0,0.106,@CBS,RT @TheNeighborhood: Find out why Cedric the Entertainer and the cast think #TheNeighborhood is the kind of show that everyone can relate t…,21
121,0.5093,Mon Aug 06 00:02:02 +0000 2018,0.845,0.0,0.155,@CBS,That's all for our #CBS #TCA18 panels! Tune in this fall to watch all your favorite new shows. 🙌 https://t.co/hM85o9eRi8,22
122,0.0,Sun Aug 05 23:58:41 +0000 2018,1.0,0.0,0.0,@CBS,"RT @MagnumPICBS: ""If there was ever a time to bring back #MagnumPI, it's now."" - @PLenkov 
#CBS #TCA2018",23
123,0.8316,Sun Aug 05 23:44:39 +0000 2018,0.694,0.0,0.306,@CBS,"RT @MagnumPICBS: ""There are a lot of easter eggs from the original that fans from the original series will love, and they're peppered throu…",24
124,0.0,Sun Aug 05 23:41:21 +0000 2018,1.0,0.0,0.0,@CBS,"RT @MagnumPICBS: ""What we are trying to do is introduce the show to a new audience...it's going to open it up for anyone that's new and the…",25
125,0.5994,Sun Aug 05 23:35:49 +0000 2018,0.843,0.0,0.157,@CBS,"RT @MagnumPICBS: ""This has been my white whale since I was a kid. I always loved #MagnumPI. Putting words in Magnum's mouth is something I'…",26
126,0.0,Sun Aug 05 23:35:46 +0000 2018,1.0,0.0,0.0,@CBS,RT @MagnumPICBS: It's #MagnumPI time at the #CBS #TCA2018! Follow along as we live tweet the panel!,27
